species;spec;ring_ID;date;sex;fuel ;infection;RMR;origMassSpec-RMR;MMR30;origMassSpec-MMR;hemo;parasitemia
SaxRub;4;37A2180;30.04.16;1;2;1;0.6847;0.0519;4.27;0.3285;145;0.43369
SaxRub;4;43A3827;12.04.17;2;0;1;;;2.01;0.1795;110;0.00198
PhoPho;3;43A3859;12.04.17;2;5;1;0.6931;0.0468;4.8;0.3179;;0.25146
SaxRub;4;43A3958;12.04.17;1;1;1;0.649;0.0519;;;116;3.16491
SaxRub;4;43A4056;13.04.17;1;1;1;0.6819;0.0559;2.68;0.2161;;0.05385
SaxRub;4;43A4209;14.04.17;1;1;1;0.8614;0.0653;3.62;0.2785;156;0.01684
SaxRub;4;43A4227;14.04.17;1;0;1;0.6801;0.0515;3.23;0.2259;138;0.6976
SaxRub;4;43A4237;14.04.17;1;1;1;0.732;0.0519;4.12;0.3029;157;0.00697
SaxRub;4;43A4271;14.04.17;1;2;1;0.6854;0.0463;4.49;0.3301;155;3.15775
SaxRub;4;43A4283;15.04.17;1;4;1;0.7802;0.0561;4.15;0.3144;130;0.00296
SaxRub;4;43A4284;15.04.17;1;6;1;0.8251;0.0607;4.6;0.3007;188;0.62706
PhoPho;3;43A4309;15.04.17;1;4;1;0.8549;0.0552;5.46;0.3523;184;0.00179
PhoPho;3;43A4323;15.04.17;1;5;1;0.7451;0.0497;3.36;0.2301;152;0.0027
PhoPho;3;43A4456;16.04.17;1;3;1;;;4.11;0.3425;198;0.00159
PhoPho;3;43A4469;16.04.17;1;4;1;0.6176;0.0471;5.25;0.4167;174;0.00162
PhoPho;3;43A4479;16.04.17;2;4;1;0.6793;0.0507;4.11;0.3067;200;0.00303
PhoPho;3;43A4481;16.04.17;1;5;1;0.8207;0.0612;4.45;0.3248;189;0.00168
PhoPho;3;43A4486;16.04.17;2;3;1;0.6542;0.0503;4.44;0.3581;189;0.01487
SaxRub;4;43A4498;16.04.17;1;1;1;0.6514;0.0475;;;175;0.00882
PhoPho;3;43A4633;17.04.17;2;1;1;0.5611;0.0488;4.56;0.3832;177;0.00993
PhoPho;3;43A4658;17.04.17;1;2;1;0.6094;0.0491;4.05;0.3214;166;0.02623
SaxRub;4;43A4685;18.04.17;1;1;1;0.5028;0.0433;4.48;0.3528;188;0.83642
PhoPho;3;43A4739;19.04.17;1;6;1;0.5497;0.0398;5.67;0.391;187;0.00372
PhoPho;3;43A4742;19.04.17;2;4;1;1.015;0.0806;3.72;0.2884;184;0.00168
PhoPho;3;43A4764;19.04.17;2;5;1;0.614;0.0495;4.15;0.3168;203;0.01987
SaxRub;4;43A4786;20.04.17;2;2;1;0.5877;0.0516;4.52;0.3477;213;0.00888
SaxRub;4;43A4804;20.04.17;2;3;1;0.6264;0.0518;3.2;0.2406;208;0.00156
PhoPho;3;43A4805;20.04.17;2;4;1;0.7272;0.0582;4.32;0.3323;187;0.00545
SaxRub;4;43A4827;20.04.17;1;1;1;0.6322;0.0486;4.37;0.3077;144;1.13889
PhoPho;3;43A4828;20.04.17;2;2;1;0.6014;0.0501;5.11;0.3992;177;0.00145
SaxRub;4;43A4834;20.04.17;1;1;1;0.531;0.0483;4.07;0.3449;144;0.00743
SaxRub;4;43A4858;21.04.17;2;1;1;0.6185;0.0469;3.94;0.3054;209;0.02825
PhoPho;3;43A4865;21.04.17;2;1;1;0.5382;0.0498;3.76;0.3082;165;0.01866
SaxRub;4;43A4873;21.04.17;1;2;1;0.5083;0.04;3.87;0.2932;111;0.84862
SaxRub;4;43A4992;24.04.17;2;5;1;0.6594;0.0503;4.24;0.3095;173;0.18072
SaxRub;4;43A4998;24.04.17;1;6;1;0.8066;0.0517;5.64;0.3279;195;0.00326
SaxRub;4;43A4999;24.04.17;1;3;1;0.978;0.0665;5.2;0.3444;170;0.00134
SaxRub;4;43A5000;24.04.17;1;4;1;0.6076;0.0506;4.12;0.3075;176;0.00172
SaxRub;4;43A5021;24.04.17;1;1;1;0.5262;0.0446;4.78;0.3515;160;0.09211
